OrderID,Date,Time,TotalCost,EmployeeID,CustomerID
0,2025-09-27,21:45:00,8.95,7,
1,2024-11-20,19:30:00,21.9,2,59
2,2025-06-22,14:15:00,35.15,6,31
3,2025-01-10,12:30:00,11.95,6,145
4,2025-07-15,14:45:00,15.45,6,
5,2025-07-26,10:00:00,14.45,4,136
6,2025-07-18,14:15:00,52.05,3,81
7,2025-07-06,10:15:00,9.7,8,
8,2025-08-29,08:00:00,36.6,3,76
9,2025-06-29,10:30:00,46.3,3,112
10,2025-03-30,17:45:00,19.4,8,
11,2025-09-30,21:15:00,23.4,8,89
12,2025-03-26,15:30:00,10.95,6,119
13,2025-02-15,08:15:00,18.45,2,99
14,2025-03-18,12:00:00,12.7,3,90
15,2025-04-11,20:45:00,29.9,4,131
16,2025-08-25,18:00:00,61.0,3,141
17,2025-04-05,21:30:00,14.7,8,70
18,2025-01-30,16:00:00,40.85,4,75
19,2025-04-09,13:00:00,21.15,4,124
20,2025-07-26,12:45:00,25.9,8,
21,2025-09-14,15:45:00,23.4,6,
22,2025-01-11,14:00:00,16.45,6,91
23,2024-12-12,12:15:00,13.2,4,146
24,2025-09-20,18:30:00,23.65,6,
25,2025-04-12,13:00:00,9.45,8,
26,2024-11-23,12:30:00,14.45,3,49
27,2025-03-14,14:30:00,32.6,3,
28,2025-08-29,09:30:00,10.7,8,146
29,2025-03-15,14:30:00,31.6,4,142
30,2025-09-02,08:00:00,13.7,8,78
31,2025-01-02,14:15:00,14.7,4,82
32,2025-08-20,20:00:00,24.9,4,43
33,2025-01-31,12:15:00,11.7,4,76
34,2025-07-10,11:15:00,18.95,8,14
35,2025-08-02,12:30:00,23.15,8,59
36,2025-09-11,19:00:00,12.7,3,
37,2025-08-24,19:30:00,14.45,7,
38,2025-03-14,13:00:00,23.15,3,
39,2025-08-19,14:45:00,16.2,2,
40,2025-04-26,21:30:00,22.4,8,22
41,2025-04-05,12:45:00,18.95,3,
42,2025-02-13,10:15:00,34.85,4,139
43,2025-05-23,21:15:00,28.15,4,
